!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
Cleo Laine	Friday June 30, 1995 at 9 p.m.	Salle Wilfrid-Pelletier	
Clifford Jordan	Sunday July 12, 1981 at 8 p.m.	Expo-Théâtre	Mingus Dynasty
Clifford Jordan	Sunday July 3, 1988 at 6:30 p.m.	Théâtre St-Denis	Carmen McRae "Mostly Monk " 
Clifton Anderson	Thursday July 6, 1989 at 6 p.m.	Théâtre St-Denis	Sonny Rollins avec Bob Cranshaw, Jerome Harris, Mark Suskin et Clifton Anderson
Clio and the Blues Highway	Wednesday June 30, 2010 at 7 p.m.	Scène Loto-Québec	Clio &amp; the Blueshighway
The Club Django Sextet of Toronto	Sunday July 11, 2004 at 12 p.m.	Place du Complexe Desjardins Stage	The Club Django Sextet of Toronto
Coco Montoya	Wednesday November 2, 2011 at 8 p.m.	L'Astral  (Maison du Festival Rio Tinto Alcan)	Coco Montoya
Coco Montoya	Wednesday July 3, 1996 at 11:59 p.m.	Spectrum de Montréal	Coco Montoya
Coco Montoya	Wednesday December 2, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Coco Montoya
Coco Montoya	Tuesday June 29, 2010 at 9 p.m.	Scène Loto-Québec	Coco Montoya
Coco Montoya	Tuesday June 29, 2010 at 11 p.m.	Scène Loto-Québec	
Coco Robicheaux	Saturday July 1, 2000 at 8 p.m.	Scène de la Louisiane 	Coco Robicheaux 
Coco Robicheaux	Saturday July 1, 2000 at 10 p.m.	Scène de la Louisiane 	
Coco Robicheaux	Sunday July 2, 2000 at 8 p.m.	Scène de la Louisiane 	
Coco Robicheaux	Sunday July 2, 2000 at 10 p.m.	Scène de la Louisiane 	
Coco Zhao	Thursday July 6, 2006 at 8 p.m.	Alcan Stage	Coco
Coco Zhao	Thursday July 6, 2006 at 10 p.m.	Alcan Stage	
Coco Zhao	Wednesday July 4, 2007 at 6 p.m.	Gesù - Centre de créativité	Jean Vanasse, Sylvain Provost, Frédéric Grenier
The Coconuts	Sunday July 4, 1993 at 9 p.m.	Spectrum de Montréal	Kid Creole and The Coconuts
Coffee	Sunday July 1, 2001 at 8 p.m.	La Louisiane / Radio-Canada Stage	COFFEE featuring Ernest Scott
Coffee	Sunday July 1, 2001 at 10 p.m.	La Louisiane / Radio-Canada Stage	
Coffee	Monday July 2, 2001 at 8 p.m.	La Louisiane / Radio-Canada Stage	
Coffee	Monday July 2, 2001 at 10 p.m.	La Louisiane / Radio-Canada Stage	
Col. Bruce Hampton	Saturday July 4, 1992 at 10 p.m.	Scène Labatt	Col. Bruce Hampton and The Aquarium Rescue Unit
Col. Bruce Hampton	Saturday July 4, 1992 at 11:59 p.m.	Spectrum de Montréal	
Colin Hunter 	Thursday July 2, 2009 at 8 p.m.	Scène Rio Tinto Alcan	Colin Hunter
Colin Hunter 	Thursday July 2, 2009 at 10 p.m.	Scène Rio Tinto Alcan	
Colin Hunter 	Friday October 15, 2010 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	Colin Hunter with Joe Sealy and Kim Richardson
Colin James	Friday June 26, 1987 at 10 p.m.	Scène Labatt Blues	Colin James
Colin James	Friday June 26, 1987 at 11:30 p.m.	Spectrum de Montréal	
Colin James	Friday July 10, 1992 at 8:30 p.m.	Salle Wilfrid-Pelletier	Jeff Healy Band / Colin James
Colin James	Friday July 8, 1994 at 9 p.m.	Spectrum de Montréal	Colin James Little Big Band et Roomfull of Blues
Colin James	Friday July 8, 1994 at 11:59 p.m.	Spectrum de Montréal	
Colin James	Friday July 5, 1996 at 9 p.m.	Spectrum de Montréal	Colin James and his musicians
Colin James	Friday July 4, 1997 at 6 p.m.	Théâtre Maisonneuve - PdA	Colin James "Acoustic Blues Summit"
Colin James	Sunday July 8, 2001 at 9 p.m.	Métropolis	Colin James
Colin James	Tuesday July 6, 2004 at 9 p.m.	Métropolis	Colin James
Colin James	Wednesday July 7, 2004 at 9 p.m.	Métropolis	
Colin James	Friday February 10, 2006 at 8:30 p.m.	Spectrum de Montréal	Colin James
Colin James	Saturday February 11, 2006 at 8:30 p.m.	Spectrum de Montréal	
Colin James	Tuesday July 4, 2006 at 9:30 p.m.	General Motors Stage	Tribute to Paul Simon
Colin James	Friday February 16, 2007 at 8 p.m.	Salle Wilfrid-Pelletier - PdA	Colin James and the Little Big Band
Colin James	Friday December 7, 2007 at 8 p.m.	Salle Wilfrid-Pelletier - PdA	Colin James and the Little Band Christmas
Colin James	Saturday January 30, 2010 at 6:30 p.m.	Métropolis 	Colin James
Colin James	Saturday January 30, 2010 at 9:30 p.m.	Métropolis 	
Colin James	Thursday June 30, 2011 at 9:30 p.m.	Théâtre Maisonneuve - PdA	Colin James
Colin Linden	Friday July 4, 1997 at 6 p.m.	Théâtre Maisonneuve - PdA	Colin James "Acoustic Blues Summit"
Colin Linden	Thursday July 9, 1998 at 8 p.m.	Terrasse du Casino de Montréal 	Colin Linden with Richard Bell
Colin Linden	Thursday February 9, 2006 at 8:30 p.m.	Spectrum de Montréal	Colin Linden
Colin Linden	Friday February 10, 2006 at 8:30 p.m.	Spectrum de Montréal	
Colin Moore	Tuesday July 7, 2009 at 7 p.m.	Pavillon SIMM-GM	Colin Moore
Colin Moore	Friday March 26, 2010 at 8 p.m.	Savoy du Métropolis	Colin Moore
Colin Moore	Sunday July 4, 2010 at 5 p.m.	Pub Heineken	
Colin Moore	Sunday July 4, 2010 at 7 p.m.	Pub Heineken	
Colin Moore	Saturday December 4, 2010 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Colin Perry	Thursday July 1, 2004 at 9 p.m.	General Motors Stage	Susie Arioli 
Colin Perry	Thursday July 1, 2004 at 11 p.m.	General Motors Stage	
Colin Perry	Saturday July 11, 2009 at 8 p.m.	Scène Rio Tinto Alcan	Colin Perry &amp; The Houserent Serenaders
Colin Perry	Saturday July 11, 2009 at 10 p.m.	Scène Rio Tinto Alcan	
Collectif Slang	Wednesday July 6, 2005 at 9 p.m.	Musée d'Art Contemporain de Montréal - Beverley-Rolph-Webster	Collectif Slang
Colours	Thursday June 29, 1995 at 8 p.m.	Place du Maurier Ltée	Colours
Colours	Saturday July 1, 1995 at 8 p.m.	Place du Maurier Ltée	
Colours of One	Monday July 1, 1996 at 7 p.m.	Terrasse Nescafé	Colours of One
Com. On. Jazz de Québec	Saturday July 8, 2006 at 3 p.m.	General Motors Stage	Com. On. Jazz de Québec
Com. On. Jazz de Québec	Friday June 27, 2008 at 3 p.m.	Scène General Motors	Com.On.Jazz de Québec
Combo 2 Concordia University	Monday June 30, 2008 at 4 p.m.	Scène Rio Tinto Alcan	Combo 2 Concordia University
Combo Sublime	Friday June 30, 1989 at 9 p.m.	Chapiteau Yogourt Liberté	Combo Sublime
Combo Sublime	Friday June 30, 1989 at 11 p.m.	Chapiteau Yogourt Liberté	
Combo Sublime	Tuesday July 3, 1990 at 8:30 p.m.	Théâtre Alcan	Combo Sublime
Combo Sublime	Tuesday July 3, 1990 at 11 p.m.	Club Soda	
Combo Sublime	Saturday July 6, 1991 at 7:30 p.m.	Scène Ultramar	Combo Sublime
Combo Sublime	Saturday July 6, 1991 at 9:30 p.m.	Théâtre du Nouveau Monde	
Combo Tropical	Friday July 10, 1998 at 7:30 p.m.	Scène Bleue Dry 	Combo Tropical 
The Commodores	Thursday July 6, 2006 at 8:30 p.m.	Métropolis	The Commodores
Companhia Estadual de Jazz (CEJ)	Thursday July 9, 2009 at 6 p.m.	Scène General Motors	Companhia Estadual de Jazz
Compay Segundo	Friday July 3, 1998 at 6 p.m.	Spectrum de Montréal 	Compay Segundo et ses musiciens 
La Complèt'Mandingue	Saturday June 25, 2011 at 1 p.m.	Marching along Blvd. De Maisonneuve	Complèt’ Mandingue
La Complèt'Mandingue	Saturday June 25, 2011 at 4 p.m.	Marching along Blvd. De Maisonneuve	
La Complèt'Mandingue	Sunday June 26, 2011 at 1 p.m.	Marching along Blvd. De Maisonneuve	
La Complèt'Mandingue	Sunday June 26, 2011 at 4 p.m.	Marching along Blvd. De Maisonneuve	
La Complèt'Mandingue	Monday June 27, 2011 at 1 p.m.	Marching along Blvd. De Maisonneuve	
La Complèt'Mandingue	Monday June 27, 2011 at 4 p.m.	Marching along Blvd. De Maisonneuve	
La Complèt'Mandingue	Tuesday June 28, 2011 at 1 p.m.	Marching along Blvd. De Maisonneuve	
La Complèt'Mandingue	Tuesday June 28, 2011 at 4 p.m.	Marching along Blvd. De Maisonneuve	
La Complèt'Mandingue	Wednesday June 29, 2011 at 1 p.m.	Marching along Blvd. De Maisonneuve	Complèt’ Mandingue (France) et Sweet Dixie
La Complèt'Mandingue	Wednesday June 29, 2011 at 4 p.m.	Marching along Blvd. De Maisonneuve	
Concordia Combo	Friday July 4, 1986 at 6:30 p.m.	Air Canada Stage	Concordia Combo
Concordia Stage Band	Monday June 30, 1986 at 6:30 p.m.	Air Canada Stage	Concordia Stage Band
Conor Gains	Sunday July 3, 2011 at 7 p.m.	Scène Loto-Québec	Conor Gains Band
Conrab Herwig	Friday July 3, 1998 at 6 p.m.	Théâtre Maisonneuve - PdA	Joe Henderson and friends 
Conservatoire du musique du Québec à Montréal	Thursday July 6, 1989 at 8 p.m.	Scène du Complexe Desjardins	Conservatoire du musique du Québec à Montréal 
Conservatoire McGill	Sunday July 6, 1986 at 6:30 p.m.	Air Canada Stage	Conservatoire McGill
Contrebande de Montréal-Nord	Thursday July 1, 1993 at 7 p.m.	Place du Maurier Ltée	Contrebande de Montréal-Nord
Contrevent	Saturday June 27, 1987 at 8:30 p.m.	Bibliothèque Nationale du Québec	Contrevent
Contrevent	Thursday July 6, 1989 at 8 p.m.	Scène Alcan	Contrevent
Contrevent	Thursday July 6, 1989 at 10 p.m.	Scène Alcan	
Contrevent	Saturday June 30, 1990 at 3 p.m.	Scène du Complexe Desjardins	Contrevent
Contrevent	Saturday July 6, 1991 at 6:30 p.m.	Scène Budweiser	Contrevent
Contrevent	Saturday July 6, 1991 at 8:30 p.m.	Scène Budweiser	
Contrevent	Friday July 2, 1993 at 8 p.m.	Scène Diet Pepsi	Contrevent
Contrevent	Monday July 4, 1994 at 7 p.m.	Amphithéâtre Diet Pepsi	Contrevent
The Cool Crooners	Sunday June 30, 2002 at 9 p.m.	General Motors Stage	The Cool Crooners
The Cool Crooners	Sunday June 30, 2002 at 11 p.m.	General Motors Stage	
The Cool Crooners	Monday July 1, 2002 at 9 p.m.	General Motors Stage	
The Cool Crooners	Monday July 1, 2002 at 11 p.m.	General Motors Stage	
Coolooloosh	Wednesday July 8, 2009 at 10 p.m.	Scène Bell 	Coolooloosh
Coop Jazz	Wednesday July 1, 1981 at 9:30 p.m.	Transit de l'Hôtel Nelson	Coop Jazz
Coop Jazz	Thursday July 2, 1981 at 9:30 p.m.	Transit de l'Hôtel Nelson	
Coop Jazz	Friday July 3, 1981 at 9:30 p.m.	Transit de l'Hôtel Nelson	
Coop Jazz	Saturday July 4, 1981 at 9:30 p.m.	Transit de l'Hôtel Nelson	
Coop Jazz	Sunday July 5, 1981 at 9:30 p.m.	Transit de l'Hôtel Nelson	
Coral Egan	Sunday December 9, 2001 at 8 p.m.	Spectrum de Montréal	Molly Johnson Quartet
Coral Egan	Monday July 1, 2002 at 7 p.m.	Club Soda	Coral Egan 
Coral Egan	Friday July 9, 2004 at 7 p.m.	Club Soda	Coral Egan 
Coral Egan	Saturday July 10, 2004 at 7 p.m.	Club Soda	
Coral Egan	Friday November 12, 2004 at 8 p.m.	Spectrum de Montréal	
Coral Egan	Saturday June 28, 2008 at 8 p.m.	Théâtre du Nouveau Monde 	Coral Egan
Coral Egan	Sunday June 29, 2008 at 8 p.m.	Théâtre du Nouveau Monde 	
Coral Egan	Saturday July 5, 2008 at 7:30 p.m.	Salle Wilfrid-Pelletier - PdA	25th Anniversary Justin Time : A Night To Remember
Coral Egan	Friday March 6, 2009 at 8 p.m.	Gesù — Centre de créativité 	Coral Egan
Coral Egan	Friday July 10, 2009 at 7 p.m.	Upstairs	Coral Egan Jazz Quartet
Coral Egan	Friday July 10, 2009 at 9 p.m.	Upstairs	
Coral Egan	Thursday October 8, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	The Sociopaths
Coral Egan	Saturday November 28, 2009 at 8 p.m.	Shawinigan - Centre des arts de Shawinigan, Salle Philippe-Filion	A Special Evening with Coral Egan and John Pizzarelli Quartet
Coral Egan	Sunday November 29, 2009 at 8 p.m.	Salaberry-de-Valleyfield - Salle Albert-Dumouchel	
Coral Egan	Tuesday December 1, 2009 at 8 p.m.	Sherbrooke - Salle Maurice-O’Bready	
Coral Egan	Wednesday December 2, 2009 at 8 p.m.	L’Asomption - Théâtre Hector-Charland	
Coral Egan	Thursday December 3, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Coral Egan	Friday December 4, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Coral Egan	Sunday December 6, 2009 at 3:30 p.m.	Saint-Jean-sur-Richelieu - Théâtre des Deux Rives	
Coral Egan	Thursday December 10, 2009 at 8 p.m.	Saint-Hyacinthe - Centre des arts Juliette-Lassonde	
Coral Egan	Friday December 11, 2009 at 8 p.m.	Beloeil - Centre Culturel de Beloeil	
Coral Egan	Saturday December 12, 2009 at 8 p.m.	Montmagny - Salle Edwin-Bélanger	
Coral Egan	Sunday December 13, 2009 at 8 p.m.	Québec - Grand Théâtre de Québec	
Cordero	Saturday July 4, 2009 at 9 p.m.	Scène du Festival 	Cordero
Cordero	Saturday July 4, 2009 at 11 p.m.	Scène du Festival 	
Corey Harris	Friday July 4, 1997 at 6 p.m.	Théâtre Maisonneuve - PdA	Colin James "Acoustic Blues Summit"
Corinne Bailey Rae	Sunday July 2, 2006 at 7 p.m.	Club Soda	Corinne Bailey Rae
Corkestra	Monday June 30, 2008 at 9 p.m.	Studio Hydro-Québec — Monument-National	Corkestra
Corky Siegel	Thursday July 5, 1984 at 9:30 p.m.	Scène Ontario	Corky Siegel
Corky Siegel	Saturday July 6, 1996 at 6 p.m.	Théâtre Maisonneuve, PdA	Triple concert de blues acoustique
Corky Siegel	Thursday July 1, 2010 at 9 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	Corky Siegel’s <i>Chamber Blues</i> with Marcella Detroit
Corneille	Sunday July 1, 2007 at 6 p.m.	Spectrum de Montréal	Corneille
Cosmik Connection	Friday June 29, 2001 at 10 p.m.	Labatt Bleue Légère Stage	Cosmik Connection
Cosmik Connection	Saturday June 30, 2001 at 11:59 p.m.	Spectrum de Montréal	
Cosoul	Saturday July 11, 1998 at 10 p.m.	Scène Bleue Dry 	CoSoul 
Cosoul	Sunday July 12, 1998 at 10 p.m.	Scène Bleue Dry 	
Les Costards	Thursday June 29, 2000 at 1 p.m.	Terrasse Grand Marnier 	Les Costards 
Les Costards	Thursday June 29, 2000 at 5 p.m.	Terrasse Grand Marnier 	
Les Costards	Friday June 30, 2000 at 5 p.m.	Terrasse du Casino de Montréal 	
Les Costards	Saturday July 1, 2000 at 1 p.m.	Terrasse Grand Marnier 	
Les Costards	Saturday July 1, 2000 at 5 p.m.	Terrasse Grand Marnier 	
Les Costards	Sunday July 2, 2000 at 5 p.m.	Terrasse du Casino de Montréal 	
Les Costards	Monday July 3, 2000 at 1 p.m.	Terrasse Grand Marnier 	
Les Costards	Monday July 3, 2000 at 5 p.m.	Terrasse Grand Marnier 	
Les Costards	Tuesday July 4, 2000 at 5 p.m.	Terrasse du Casino de Montréal 	
Cotton Club Jazz Band du CDSL	Thursday July 5, 2007 at 12 p.m.	Scène General Motors	Cotton Club Jazz Band Du Cdsl
The Count Basie Orchestra 	Wednesday July 3, 1985 at 7 p.m.	Théâtre St-Denis	The Count Basie Orchestra with Thad Jones (Director)
The Count Basie Orchestra 	Monday July 4, 1988 at 6:30 p.m.	Théâtre St-Denis	Hugh Fraser Quitet / Diane Schuur et le Count Basie Orchestra
The Count Basie Orchestra 	Friday June 23, 1995 at 9 p.m.	Salle Wilfrid-Pelletier	Cleo Laine et John Dankworth avec Duke Ellington Orchestra / Joe Williams avec Count Basie Orchestra
The Count Basie Orchestra 	Friday June 30, 1995 at 9 p.m.	Salle Wilfrid-Pelletier	
The Count Basie Orchestra 	Wednesday June 25, 1997 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	Count Basie Orchestra (avec Manhattan Transfer) 
The Count Basie Orchestra 	Thursday June 26, 1997 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	
The Coup	Sunday July 1, 2007 at 11:59 p.m.	Club Soda	The Coup
Courtney Pine	Sunday July 3, 1988 at 11:30 p.m.	Spectrum	Courtney Pine
Courtney Pine	Thursday July 4, 1991 at 6 p.m.	Spectrum de Montréal	Courtney Pine Group 
Courtney Wing	Thursday July 1, 2010 at 7 p.m.	Savoy du Métropolis	Courtney Wing
Cow Bop	Monday July 5, 2010 at 8 p.m.	Scène Rio Tinto Alcan	Cow Bop
Cowboy Junkies	Monday July 2, 2007 at 6 p.m.	Spectrum de Montréal	Cowboy Junkies 20th Anniversary
Cowboy Junkies	Wednesday November 18, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Cowboy Junkies
Cowboy Junkies	Thursday November 19, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Coyote Bill	Friday June 25, 2010 at 11:59 p.m.	Savoy du Métropolis	Coyote Bill
Coyote Bill	Saturday June 26, 2010 at 11:59 p.m.	Savoy du Métropolis	
Coyote Bill	Sunday June 27, 2010 at 11:59 p.m.	Savoy du Métropolis	
Coyote Bill	Monday June 28, 2010 at 11:59 p.m.	Savoy du Métropolis	
Craig D'Andrea	Sunday July 4, 2010 at 7 p.m.	Théâtre Jean-Duceppe - PdA 	Soirée CandyRat Records
Craig Harris 	Wednesday July 5, 1989 at 11 p.m.	UQAM / Salle Marie-Gérin-Lajoie	Craig Harris and Tailgaters Tales
Craig Harris 	Friday June 27, 1997 at 8 p.m.	Salle du Gesù	Ray Anderson "Slide Ride"
Crash	Thursday July 8, 1999 at 9 p.m.	Place du Maurier 	Crash 
Crazy Rhythm Daddies String Band	Thursday July 3, 1997 at 9 p.m.	Métropolis	Brian Setzer Orchestra
Creaking Tree String Quartet	Wednesday July 7, 2004 at 9 p.m.	Carrefour General Motors	Creaking Tree String Quartet
Creature	Wednesday July 1, 2009 at 10 p.m.	Scène Bell 	Creature
Creatures of Habit	Saturday July 8, 1989 at 8:30 p.m.	Salle Wilfrid-Pelletier, PdA	Oscar Peterson
Creatures of Habit	Friday July 6, 1990 at 4:30 p.m.	Théâtre Port-Royal 	Creatures of Habit
Creatures of Habit	Sunday July 8, 1990 at 8 p.m.	Amphithéâtre Canadien International	Creatures of Habit - Winner of the 1990 Alcan Jazz Competition
Creatures of Habit	Saturday June 29, 1991 at 8:30 p.m.	Amphilthéâtre Canadien International	Creatures of Habit
The Creole Zydeco Farmers	Friday July 7, 2000 at 8 p.m.	Scène de la Louisiane 	Creole Zydeco Farmers (The) 
The Creole Zydeco Farmers	Friday July 7, 2000 at 10 p.m.	Scène de la Louisiane 	
Croisière Jazz	Sunday July 1, 2007 at 6 p.m.	Bateau Cavalier Maxim	Croisière Jazz
Croisière Jazz	Monday July 2, 2007 at 6 p.m.	Bateau Cavalier Maxim	
Croisière Jazz	Tuesday July 3, 2007 at 6 p.m.	Bateau Cavalier Maxim	
Croisière Jazz	Wednesday July 4, 2007 at 6 p.m.	Bateau Cavalier Maxim	
Croisière Jazz	Thursday July 5, 2007 at 6 p.m.	Bateau Cavalier Maxim	
Croisière Jazz	Sunday June 29, 2008 at 6 p.m.	Bateau Cavalier Maxim	Croisière Jazz with Dorothée Berryman
Croisière Jazz	Monday June 30, 2008 at 6 p.m.	Bateau Cavalier Maxim	
Croisière Jazz	Tuesday July 1, 2008 at 6 p.m.	Bateau Cavalier Maxim	
Crystal Monee Hall	Saturday June 26, 2010 at 8 p.m.	Scène Rio Tinto Alcan	Crystal Monee Hall
Crystal Monee Hall	Saturday June 26, 2010 at 10 p.m.	Scène Rio Tinto Alcan	
Cubanismo	Tuesday July 1, 1997 at 9:30 p.m.	Scène du Maurier	Cubanismo with Jesus Alemany
Cubanismo	Friday July 2, 1999 at 9 p.m.	Métropolis 	¡Cubanismo! 
Cubanismo	Friday September 29, 2000 at 8 p.m.	Métropolis 	¡Cubanismo!. 
Cubanismo	Saturday March 4, 2006 at 8 p.m.	Spectrum de Montréal	Cubanismo
Cuica	Saturday July 7, 1984 at 9 p.m.	Scène Maisonneuve	Cuica
Curtis Hasselbring	Friday July 7, 2000 at 9 p.m.	Spectrum de Montréal 	Dave Douglas Sextet
Curtis Lundy	Sunday July 2, 2000 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	An evening with Al Jarreau
Curumin	Thursday July 9, 2009 at 10 p.m.	Scène Bell 	Curumin
The Custums	Tuesday July 5, 1988 at 12 p.m.	Complexe Desjardins	The Custums (Jive Music)
The Custums	Friday June 30, 1989 at 8 p.m.	Scène Alcan	The Custums 
The Custums	Friday June 30, 1989 at 10 p.m.	Scène Alcan	
Cyndi Lauper	Sunday July 4, 2010 at 8:30 p.m.	Métropolis 	Cyndi Lauper
Cyro Baptista	Saturday September 25, 2010 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	Cyro Baptista, Banquet of the Spirit
Cyrus Chesnut	Wednesday July 7, 1993 at 6 p.m.	Théâtre Maisonneuve	Betty Carter
Cyrus Chesnut	Sunday July 3, 1994 at 8 p.m.	Salle du Gesù	Un pianiste époustouflant Cyrus Chestnut Trio
Cyrus Chesnut	Monday June 30, 1997 at 6 p.m.	Spectrum de Montréal	Madeleine Peyroux 
Cyrus Chesnut	Monday June 30, 1997 at 8:30 p.m.	Théâtre du Nouveau Monde	Cyrus Chestnut and James Williams Trio
Cyrus Chesnut	Wednesday July 8, 1998 at 11 p.m.	Théâtre du Gesù 	Benny Green et Cyrus Chesnut 
Cyrus Chesnut	Thursday July 9, 1998 at 9:30 p.m.	Spectrum de Montréal 	James Carter et invité spécial Cyrus Chesnut 
Cyrus Chesnut	Thursday July 3, 2003 at 9:30 p.m.	Monument National	Geri Allen - Cyrus Chestnut
Cyrus Chesnut	Sunday July 3, 2011 at 10:30 p.m.	Gesù, Centre de créativité	Cyrus Chestnut Trio
D.D. Jackson	Friday July 7, 1995 at 5 p.m.	Théâtre du Maurier Ltée	D.D. Jackson solo
D.D. Jackson	Friday July 7, 1995 at 11 p.m.	Théâtre du Maurier Ltée	
D.D. Jackson	Wednesday July 3, 1996 at 6 p.m.	Spectrum de Montréal	James Carter and his musicians
D.D. Jackson	Friday July 4, 1997 at 8:30 p.m.	Théâtre du Nouveau Monde	D.D. Jackson Trio 
D.D. Jackson	Thursday July 9, 1998 at 11 p.m.	Théâtre du Gesù 	Hamiet Bluiett, DD Jackson et Mor Thiam 
D.E.W. East	Sunday July 4, 1999 at 4 p.m.	Scène du Maurier 	D.E.W. East 
The D.M. Zone	Sunday July 7, 1991 at 7:30 p.m.	Scène Labatt Blues	Sylvie Perron and The D.M. Zone
The D.M. Zone	Sunday July 7, 1991 at 11 p.m.	Le Grand Café	
Daddy Freddy	Thursday July 2, 2009 at 11:59 p.m.	Club Soda	The Bug featuring Flowdan &amp; Daddy Freddy
Dale Boyle	Friday June 27, 2008 at 7 p.m.	Scène Loto-Québec	Dale Boyle and The Barburners
Dan Bigras	Monday July 4, 1983 at 9 p.m.	Scène Carlsberg	Bob Harrisson
Dan Bigras	Tuesday July 5, 1983 at 7:30 p.m.	Terrasse St-Sulpice	Dan Bigras
Dan Bigras	Tuesday July 5, 1983 at 9 p.m.	Scène Carlsberg	Bob Harrisson
Dan Bigras	Wednesday July 6, 1983 at 7:30 p.m.	Terrasse St-Sulpice	Dan Bigras
Dan Bigras	Thursday July 7, 1983 at 7:30 p.m.	Terrasse St-Sulpice	
Dan Bigras	Friday July 6, 1984 at 6:30 p.m.	Rue St-Denis - Le St-Sulpice	Dan Bigras
Dan Bigras	Saturday July 7, 1984 at 6:30 p.m.	Rue St-Denis - Le St-Sulpice	
Dan Bigras	Sunday July 8, 1984 at 6:30 p.m.	Rue St-Denis - Le St-Sulpice	
Dan Bigras	Monday July 1, 1985 at 4:30 p.m.	Le St-Sulpice	Dan Bigras
Dan Bigras	Tuesday July 2, 1985 at 4:30 p.m.	Le St-Sulpice	
Dan Bigras	Wednesday July 3, 1985 at 4:30 p.m.	Le St-Sulpice	
Dan Bigras	Thursday July 4, 1985 at 4:30 p.m.	Le St-Sulpice	
Dan Bigras	Friday July 5, 1985 at 4:30 p.m.	Le St-Sulpice	
Dan Bigras	Saturday July 6, 1985 at 4:30 p.m.	Le St-Sulpice	
Dan Bigras	Sunday July 7, 1985 at 4:30 p.m.	Le St-Sulpice	
Dan Bigras	Wednesday July 1, 1987 at 7 p.m.	Scène Labatt Blues	Dan Bigras
Dan Bigras	Tuesday July 5, 1988 at 7:30 p.m.	Scène Labatt Blues	Dan Bigra Blues Band
Dan Bigras	Tuesday July 5, 1988 at 11:30 p.m.	Club Soda	Dan Bigra Blues Band / C.J. Chenier and the Red Hot Louisiana Band
Dan Bigras	Friday July 7, 1989 at 7 p.m.	Scène Labatt Blues	Dan Bigras / Blues Band
Dan Bigras	Friday July 7, 1989 at 11 p.m.	Club Soda	
Dan Bigras	Saturday July 3, 2010 at 9 p.m.	Scène TD	Dan Bigras Big Band
Dan Bigras	Saturday July 3, 2010 at 11 p.m.	Scène TD	
Dan Brubeck	Friday June 29, 1990 at 10:30 p.m.	Scène du Complexe Desjardins	Dan Brubeck and The Dolphins
Dan Livingstone	Thursday September 29, 2011 at 9 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	Dan Livingstone 
Dan Noseworthy Quartet	Sunday July 5, 1992 at 4 p.m.	Scène Alcan	Dan Noseworthy Quartet
Dan Noseworthy Quartet	Sunday July 5, 1992 at 6 p.m.	Scène Alcan	
Dan Noseworthy Quartet	Friday July 1, 1994 at 12 p.m.	Place du Complexe Desjardins (int.)	Dan Noseworthy Quartet
Dan Noseworthy Quartet	Tuesday July 2, 1996 at 8 p.m.	Scène Labatt Bleue Dry	Dan Noseworthy Quartet 
Dan Tepfer	Sunday June 26, 2011 at 7 p.m.	Upstairs	Gary Peacock  - Dan Tepfer duo 
Dan Tepfer	Sunday June 26, 2011 at 10 p.m.	Upstairs	
Dan Tepfer	Monday June 27, 2011 at 7 p.m.	Upstairs	
Dan Tepfer	Monday June 27, 2011 at 10 p.m.	Upstairs	
Dan Tepfer	Friday July 1, 2011 at 7 p.m.	Upstairs	Dan Tepfer trio featuring Massimo Biolcati &amp; Ted Poor
Dan Tepfer	Friday July 1, 2011 at 10 p.m.	Upstairs	
Dan Thouin	Thursday July 2, 1998 at 6 p.m.	Scène du Maurier 	Sylvain Provost Quartet 
Dan Thouin	Saturday June 30, 2001 at 9 p.m.	General Motors Stage	Café Soul
Dan Thouin	Saturday June 30, 2001 at 11 p.m.	General Motors Stage	
Dan Thouin	Tuesday July 3, 2001 at 8 p.m.	Club du Maurier	Daniel Thouin Quintette
Dan Thouin	Tuesday July 2, 2002 at 10 p.m.	Bleue Légère Stage	Dan et  les Robots
Dan Thouin	Thursday July 4, 2002 at 7 p.m.	Club du Maurier	Daniel Thouin Quintette
Dan Thouin	Thursday July 4, 2002 at 10 p.m.	Club du Maurier	
Dan Thouin	Friday July 5, 2002 at 10:30 p.m.	Monument National	Daniel Thouin Large Ensemble
Dan Thouin	Tuesday October 22, 2002 at 8 p.m.	Cabaret Music-Hall	
